V |                      | ArgumentsFromParametersFile.OnBuildCreated (150)
D | Pack                 |   DesignPatterns.Package -> C:\Code\Skymly\DesignPatterns\DesignPatterns.Package\bin\Release\netstandard2.0\DesignPatterns.Package.dll
D | Pack                 |   已成功创建包“C:\Code\Skymly\DesignPatterns\artifacts\package\DesignPatterns.1.0.0.nupkg”。
V | Pack                 | Telemetry.OnTargetSucceeded (0)
V | Pack                 | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V | PackVerify           | EventInvoker.OnTargetRunning (-3.4028235E+38)
V | PackVerify           | Telemetry.OnTargetSucceeded (0)
V | PackVerify           | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
V |                      | UpdateNotification.OnBuildFinished (10)
V |                      | SerializeBuildServerState.OnBuildFinished (0)
V |                      | EventInvoker.OnBuildFinished (-3.4028235E+38)
